Year,Trade Flow Code(1=import),,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2013,2,export,276,Germany,DEU,418,Lao People's Dem. Rep.,LAO,2,Meat and edible meat offal,137474
2013,2,export,276,Germany,DEU,422,Lebanon,LBN,2,Meat and edible meat offal,32384
2013,1,import,276,Germany,DEU,428,Latvia,LVA,2,Meat and edible meat offal,4657736
2013,2,export,276,Germany,DEU,428,Latvia,LVA,2,Meat and edible meat offal,19330664
2013,2,export,276,Germany,DEU,430,Liberia,LBR,2,Meat and edible meat offal,2096601
2013,1,import,276,Germany,DEU,440,Lithuania,LTU,2,Meat and edible meat offal,6574911
2013,2,export,276,Germany,DEU,440,Lithuania,LTU,2,Meat and edible meat offal,45212264
2013,1,import,276,Germany,DEU,442,Luxembourg,LUX,2,Meat and edible meat offal,7233540
2013,2,export,276,Germany,DEU,442,Luxembourg,LUX,2,Meat and edible meat offal,15263307
2013,2,export,276,Germany,DEU,446,"China, Macao SAR",MAC,2,Meat and edible meat offal,644
2013,1,import,276,Germany,DEU,458,Malaysia,MYS,2,Meat and edible meat offal,586053
2013,2,export,276,Germany,DEU,458,Malaysia,MYS,2,Meat and edible meat offal,17563276
2013,2,export,276,Germany,DEU,462,Maldives,MDV,2,Meat and edible meat offal,988170
2013,2,export,276,Germany,DEU,466,Mali,MLI,2,Meat and edible meat offal,107979
2013,1,import,276,Germany,DEU,470,Malta,MLT,2,Meat and edible meat offal,28516
2013,2,export,276,Germany,DEU,470,Malta,MLT,2,Meat and edible meat offal,3122509
2013,2,export,276,Germany,DEU,478,Mauritania,MRT,2,Meat and edible meat offal,1683
2013,1,import,276,Germany,DEU,484,Mexico,MEX,2,Meat and edible meat offal,280612
2013,1,import,276,Germany,DEU,490,"Other Asia, nes",,2,Meat and edible meat offal,1368136
2013,2,export,276,Germany,DEU,496,Mongolia,MNG,2,Meat and edible meat offal,44016
2013,2,export,276,Germany,DEU,498,Rep. of Moldova,MDA,2,Meat and edible meat offal,5202705
2013,2,export,276,Germany,DEU,499,Montenegro,MNE,2,Meat and edible meat offal,10596080
2013,2,export,276,Germany,DEU,504,Morocco,MAR,2,Meat and edible meat offal,335
2013,2,export,276,Germany,DEU,508,Mozambique,MOZ,2,Meat and edible meat offal,20584
2013,2,export,276,Germany,DEU,512,Oman,OMN,2,Meat and edible meat offal,1954033
